Time,pathways,NES_Spearman,direction_agreement,significant_set_Jaccard,primary_FDR05,median_adjusted_FDR05
D1,44,0.803100775193799,0.795454545454545,0.352941176470588,8,15
D3,44,0.914023960535589,0.863636363636364,0.555555555555556,8,6
D5,44,0.610429880197322,0.431818181818182,0.142857142857143,1,7
