Time,pathway,primary_NES,primary_FDR,LOCO_N,LOCO_NES_median,LOCO_NES_min,LOCO_NES_max,sign_consistency_fraction,FDR05_fraction
D1,APICAL_JUNCTION,1.96860528766253,8.57753611105146e-06,30,1.96844367978882,1.74598161940507,2.16363558155286,1,1
D1,COAGULATION,1.91605637474588,0.000120658432740832,30,1.92013941911388,1.69597867860096,2.06999506717078,1,1
D1,COMPLEMENT,1.01743790624149,0.48756808385876,30,1.02050204862014,-1.00277685676449,1.21836310197972,0.966666666666667,0
D1,EPITHELIAL_MESENCHYMAL_TRANSITION,2.03158575723909,5.17633018259502e-06,30,2.02781346251412,1.86373969096897,2.07180666306761,1,1
D1,GLYCOLYSIS,1.6113128219595,0.00257088861118883,30,1.61331948790865,1.38640708836095,1.79098384755555,1,1
D1,HEME_METABOLISM,2.69219704949971,2.94867102507752e-20,30,2.70043299327209,2.32929712426686,2.97039240276237,1,1
D1,HYPOXIA,2.42919445372891,1.80315812213284e-12,30,2.42886854498648,2.09193976677332,2.61481190522412,1,1
D1,IL6_JAK_STAT3_SIGNALING,1.40715872966855,0.0620957485465116,30,1.41128692011159,1.11018189274489,1.68975143366341,1,0.333333333333333
D1,INFLAMMATORY_RESPONSE,1.43927200728457,0.0195802631267938,30,1.44162677026346,1.10144333577203,1.72404911366101,1,0.866666666666667
D1,INTERFERON_ALPHA_RESPONSE,0.706478988183397,0.95772289660946,30,0.707713229217578,-1.39647982185627,1.01646043156773,0.833333333333333,0.0333333333333333
D1,INTERFERON_GAMMA_RESPONSE,-1.04906164042861,0.389562206282464,30,-1.04988613199124,-1.46529344467732,0.78855106427359,0.966666666666667,0.1
D1,OXIDATIVE_PHOSPHORYLATION,-1.69225185401553,0.00011475989138866,30,-1.69574683864151,-2.14782677145609,1.22786333262683,0.966666666666667,0.966666666666667
D1,REACTIVE_OXYGEN_SPECIES_PATHWAY,1.96501149954453,0.000298779414260625,30,1.96565800281801,1.50211690055086,2.11550475292516,1,1
D1,TGF_BETA_SIGNALING,1.53857561295416,0.0259649626897009,30,1.54561981151553,1.39897238074021,1.65761090502738,1,0.833333333333333
D1,TNFA_SIGNALING_VIA_NFKB,2.06317725724089,1.40025395566932e-07,30,2.06988425204111,1.77244116774314,2.28370333927343,1,1
D3,APICAL_JUNCTION,1.53755789352425,0.00589763986940079,29,1.54374095536273,1.34549206661798,1.65578049221977,1,0.96551724137931
D3,COAGULATION,1.54882048481349,0.0102257567588876,29,1.55500383748462,1.53430653815364,1.76844921662854,1,1
D3,COMPLEMENT,1.77384349442115,4.68888248944695e-05,29,1.77532103814582,1.63001859278814,1.95984357692789,1,1
D3,EPITHELIAL_MESENCHYMAL_TRANSITION,1.43016531254376,0.0308139097121346,29,1.43187597753662,1.32455204287596,1.56473284917733,1,0.862068965517241
D3,GLYCOLYSIS,1.49070933343625,0.00589763986940079,29,1.49322932681036,1.30390351965795,1.69829793559523,1,0.96551724137931
D3,HEME_METABOLISM,2.39455785289557,6.77758319760532e-19,29,2.40198914762401,2.26844287944573,2.74680068203188,1,1
D3,HYPOXIA,2.10325873307046,1.04606680315369e-09,29,2.10866232491929,1.98886164597835,2.25113890978905,1,1
D3,IL6_JAK_STAT3_SIGNALING,1.90829997661839,9.49793218686376e-05,29,1.90838783783718,1.52969072774728,2.26956095798819,1,1
D3,INFLAMMATORY_RESPONSE,1.75623612749587,6.4045688800664e-05,29,1.75817749669218,1.36608075087151,2.06805439417898,1,1
D3,INTERFERON_ALPHA_RESPONSE,1.61857411708593,0.00478190683761567,29,1.62048758915415,0.768413220510815,1.93706258841372,1,0.96551724137931
D3,INTERFERON_GAMMA_RESPONSE,1.45388948566264,0.00708459918747836,29,1.45701886746853,0.938636982981451,1.82469681549977,1,0.931034482758621
D3,OXIDATIVE_PHOSPHORYLATION,1.15384411036822,0.247390092487014,29,1.15679623477103,0.765517621013781,1.78547270680924,1,0.0689655172413793
D3,REACTIVE_OXYGEN_SPECIES_PATHWAY,2.08804295318379,1.84234793154179e-05,29,2.09155011652333,1.99144163649863,2.38456360933793,1,1
D3,TGF_BETA_SIGNALING,1.79970691468057,0.00154292878438729,29,1.80117508519645,1.58977033594048,1.86046838365179,1,1
D3,TNFA_SIGNALING_VIA_NFKB,2.11407447618638,8.91387968854582e-11,29,2.12099639650959,1.78173212358949,2.48070186455158,1,1
D5,APICAL_JUNCTION,1.56856372937783,0.00941629553128753,27,1.568325172876,1.24684247290582,1.7157868217038,1,0.888888888888889
D5,COAGULATION,1.27021708704192,0.159524045923193,27,1.26955974948713,1.03572038282925,1.65785568636398,1,0.037037037037037
D5,COMPLEMENT,1.56024599719434,0.00582955878127514,27,1.56326878171202,1.30701418729667,1.67853890251552,1,0.962962962962963
D5,EPITHELIAL_MESENCHYMAL_TRANSITION,1.05349506756673,0.458508738496062,27,1.0567630835885,0.896186429402184,1.4059278001338,1,0.037037037037037
D5,GLYCOLYSIS,1.02165845669308,0.516894612960487,27,1.02236826571442,0.814556146219114,1.29961881974355,1,0
D5,HEME_METABOLISM,2.30859510794709,6.60754938033427e-11,27,2.30912159242395,2.00097101311844,2.55962650905561,1,1
D5,HYPOXIA,1.94438984481066,1.62107066849125e-05,27,1.94735662302357,1.79825202660232,2.06812005576062,1,1
D5,IL6_JAK_STAT3_SIGNALING,2.04989865211459,6.63134285901046e-05,27,2.05020109499191,1.78946286393414,2.42089858127037,1,1
D5,INFLAMMATORY_RESPONSE,1.77405278551066,0.000268882167566868,27,1.77765571466125,1.25193659998547,2.07966209276973,1,0.962962962962963
D5,INTERFERON_ALPHA_RESPONSE,1.37786435330838,0.0815824459823814,27,1.38027378931508,-1.45474354760257,1.84767081696295,0.925925925925926,0.259259259259259
D5,INTERFERON_GAMMA_RESPONSE,1.36801146495122,0.0447075559174608,27,1.36834413096059,-1.54055862593337,1.93138881629649,0.925925925925926,0.777777777777778
D5,OXIDATIVE_PHOSPHORYLATION,-2.43614140782535,1.77311184108886e-12,27,-2.43347237614592,-2.63395679301444,-1.94120633409818,1,1
D5,REACTIVE_OXYGEN_SPECIES_PATHWAY,1.51860276642506,0.0457029665441079,27,1.5194675212188,1.24663525025926,1.76462290429788,1,0.555555555555556
D5,TGF_BETA_SIGNALING,1.6100034295709,0.0233813743764083,27,1.61003769567675,1.47073753169086,1.74782736093172,1,0.851851851851852
