Time,omissions,median_NES_Spearman,min_NES_Spearman,median_direction_agreement,min_direction_agreement,median_significant_set_Jaccard,min_significant_set_Jaccard
D1,30,0.995918367346939,0.892857142857143,1,0.897959183673469,0.967204301075269,0.675675675675676
D3,29,0.998163265306122,0.768571428571429,1,0.877551020408163,0.96551724137931,0.75
D5,27,0.999591836734694,0.806224489795918,1,0.836734693877551,0.954545454545455,0.565217391304348
