Time,model,gene_symbol,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj,PH_FDR,PH_pass_nominal,entry_day
D1,center_primary,A1BG,0.562262715037055,1.75463825828558,0.192363738724413,2.92291426006526,0.0034677199082092,1.20350329394158,2.55816118903694,0.0262854530044968,0.87120514299706,TRUE,168,27,0.023410130042353,0.975685617145757,TRUE,0
D1,center_primary,A2M,0.677994289502732,1.96992267262077,0.217609625588999,3.11564475913058,0.00183543236585003,1.28593651797581,3.01771921230902,0.292366232136634,0.588708168106745,TRUE,168,27,0.015295269715417,0.940478726235443,TRUE,0
D1,center_primary,AAK1,0.562068034169952,1.75429669703681,0.171042316710106,3.28613436125625,0.0010157254736362,1.25461813776456,2.45298295042805,2.9515405113886,0.0857957387739791,TRUE,168,27,0.0105804736837104,0.463679899231756,TRUE,0
D1,center_primary,AARS1,0.668792914547728,1.95187981233915,0.213854912290201,3.127320796074,0.00176407326809458,1.2835696538577,2.96815586934986,0.190143512070587,0.662797200516785,TRUE,168,27,0.0149907541970756,0.95914560942451,TRUE,0
D1,center_primary,ABAT,0.419020420978015,1.52047140398628,0.131861045413634,3.17774229427343,0.00148426614003182,1.17418879390615,1.96887698327394,0.000481151666232402,0.982499670218804,TRUE,168,27,0.0132219110175248,0.996384774168507,TRUE,0
D1,center_primary,ABCA3,0.278081093302411,1.32059328413757,0.227606698120941,1.22176146659203,0.221797844336792,0.845337065013512,2.06304289056743,0.181016698661426,0.670500957824772,TRUE,168,27,0.398454634587422,0.962078934691314,TRUE,0
D1,center_primary,ABCB6,0.151470279457902,1.16354372014567,0.212619638541153,0.712400230275928,0.476216972987021,0.767009145092314,1.76508193853083,0.0025037293634179,0.960092680582781,TRUE,168,27,0.651937023725767,0.991463025419621,TRUE,0
D1,center_primary,ABCB7,-0.0870066631730662,0.916670987675367,0.220933185639412,-0.393814369359028,0.693718094756326,0.594504050244374,1.41342300241744,0.0915059632582527,0.76227129470165,TRUE,168,27,0.813853350645099,0.971098862019354,TRUE,0
D1,center_primary,ABCC1,0.0659934100585392,1.06821967763766,0.281216734437925,0.234670992074643,0.814464104026123,0.615585604810255,1.8536711560109,2.01826810198949,0.155416315722926,TRUE,168,27,0.890020554215099,0.586976825951597,TRUE,0
D1,center_primary,ABCC3,-0.179884238719267,0.835366908957511,0.219504003206926,-0.819503225869149,0.41249936222721,0.543294266018943,1.28445653898525,0.0383762063564517,0.844689643204962,TRUE,168,27,0.595228034033502,0.975056622622436,TRUE,0
D1,center_primary,ABCC4,0.1973344029707,1.21815132602559,0.278335920761492,0.708979288159495,0.478337329889784,0.705961922326158,2.10194432046483,0.00331010134195895,0.954120236938828,TRUE,168,27,0.653812047027483,0.99067044693252,TRUE,0
D1,center_primary,ABCC5,0.205593972321891,1.22825439745641,0.199649289363234,1.02977562794046,0.303115344168595,0.830513209672404,1.81647786850503,2.5406544296005,0.110948792204732,TRUE,168,27,0.48940003648488,0.517360493132773,TRUE,0
D1,center_primary,ABCD1,-0.173550983675714,0.840674289403913,0.207544772057004,-0.836209854652698,0.403036855438468,0.559712924180688,1.26267096994284,0.00268498140121056,0.958674664156959,TRUE,168,27,0.58718523662022,0.991402393405097,TRUE,0
D1,center_primary,ABCD3,0.0514074660248514,1.05275176647908,0.227865811795164,0.22560412033668,0.821509335903669,0.673544428711048,1.64545386255476,0.0257198804881444,0.87258632065364,TRUE,168,27,0.892944930330075,0.975685617145757,TRUE,0
D1,center_primary,ABCE1,0.480923903931868,1.61756818963906,0.217511373273704,2.21102876917935,0.0270338448960669,1.05612805917261,2.47747119812537,1.45399407454324,0.227888149186679,TRUE,168,27,0.0893061798569985,0.67418437871603,TRUE,0
D1,center_primary,ABCF1,0.491001320794893,1.63395151071895,0.231438976452222,2.12151526212896,0.0338784649605359,1.03809703426949,2.5718188678378,2.69794198036944,0.100477870757434,TRUE,168,27,0.10477178908386,0.498163206542036,TRUE,0
D1,center_primary,ABCF2,0.548943073942087,1.73142206534901,0.218940146339138,2.50727462788745,0.0121666141520583,1.127303245816,2.6592865579904,4.14013943659512,0.0418777197230463,TRUE,168,27,0.0528538451112396,0.381826268063069,FALSE,0
D1,center_primary,ABCG2,-0.0971710579767313,0.907400774716258,0.194247002098898,-0.500244827084939,0.616902697749397,0.62009152789875,1.32783005235657,2.92974828408012,0.0869610501025423,TRUE,168,27,0.764390291535614,0.467249238475085,TRUE,0
D1,center_primary,ABHD10,0.384774125742483,1.46928241088389,0.193385353494986,1.98967563359166,0.046626678525899,1.00576233651163,2.14642239479785,0.382011126166493,0.536528876153195,TRUE,168,27,0.130359581015771,0.924527173675381,TRUE,0
D1,center_primary,ABHD12,-0.119683223397617,0.887201436864471,0.204266750629498,-0.585916322792545,0.557931747730948,0.594497541736193,1.32401958681886,4.40887615758689e-06,0.99832465716615,TRUE,168,27,0.71802906757138,0.999070449417987,TRUE,0
