Variable	Label	Type	Contrast	Reference	N	Events	HR	Lower95	Upper95	P_value	BH_FDR	PH_p	Nonlinearity_LRT_p	Sparse_event_flag	Zero_event_flag	Note	PH_BH_FDR	Overall_factor_LRT_p
cardiofailure	Heart failure	binary	1 vs 0	0	504	84	1.75999963103884	0.991494740636871	3.12417058235443	0.0535089529620096	0.14229788813614755	0.222592421004754		FALSE	FALSE		0.79429906843735	
cerebrovasc	Cerebrovascular disease	binary	1 vs 0	0	504	84	1.73837691956209	1.0688000244466	2.8274272505101	0.0258760722357467	0.079618683802297543	0.230853787777906		FALSE	FALSE		0.79429906843735	
dementia	Dementia	binary	1 vs 0	0	504	84	3.20296190773424	1.65412984731827	6.20203123656149	0.000555006509362849	0.0037000433957523268	0.209479984477707		FALSE	FALSE		0.79429906843735	
copd	COPD	binary	1 vs 0	0	504	84	1.88242020707924	0.972531581489477	3.64358947664527	0.0604766024578627	0.14229788813614755	0.206569249560864		FALSE	FALSE		0.79429906843735	
paralysis	Paralysis	binary	1 vs 0	0	504	84	2.02484111646193	0.820025221193095	4.99982371389688	0.126084396150909	0.24016075457315997	0.35763819606223		FALSE	FALSE		0.916447877409465	
renafailure	Renal failure	binary	1 vs 0	0	504	84	1.12860777484319	0.544677890251388	2.33854821764218	0.744818968766583	0.78401996712271893	0.0617314640046968		FALSE	FALSE		0.79429906843735	
infectionSite_SD	Infection source	categorical	Abdomen vs Lung/chest	Lung/chest	504	84	0.299497052074637	0.135212544529696	0.663388774417288	0.00296437620635073	0.016939292607718457	0.931651840286691		FALSE	FALSE		0.954943136293858	0.00379653939425984
infectionSite_SD	Infection source	categorical	Biliary/liver vs Lung/chest	Lung/chest	504	84	0.547886234134794	0.268179505363255	1.1193223924692	0.0987976644217134	0.19895691008395661	0.931651840286691		FALSE	FALSE		0.954943136293858	0.00379653939425984
infectionSite_SD	Infection source	categorical	Others/unknown vs Lung/chest	Lung/chest	504	84	0.541659393231436	0.215221073764686	1.36322569692517	0.192923813963114	0.30867810234098242	0.931651840286691		FALSE	FALSE		0.954943136293858	0.00379653939425984
infectionSite_SD	Infection source	categorical	Soft tissue vs Lung/chest	Lung/chest	504	84	1.17859104002503	0.532106524235993	2.6105239766074	0.685484893264477	0.78010637836434338	0.931651840286691		FALSE	FALSE		0.954943136293858	0.00379653939425984
infectionSite_SD	Infection source	categorical	Urinary vs Lung/chest	Lung/chest	504	84	0.426386659402105	0.215171864470477	0.844931951319462	0.0145716743958999	0.052987906894181452	0.931651840286691		FALSE	FALSE		0.954943136293858	0.00379653939425984
