Time	pathway	group	NES	FDR	status	cell
"D1"	"WNT_BETA_CATENIN_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"XENOBIOTIC_METABOLISM"	"CV <20%"	1.30944412222462	0.0779864310586754	"estimable"	"1.31"
"D3"	"ADIPOGENESIS"	"CV <20%"	1.26237503792023	0.269073966220151	"estimable"	"1.26"
"D3"	"ALLOGRAFT_REJECTION"	"CV <20%"	-1.30877382112786	0.258117822027597	"estimable"	"-1.31"
"D3"	"ANDROGEN_RESPONSE"	"CV <20%"	0.759056948548876	0.884412309389653	"estimable"	"0.76"
"D3"	"ANGIOGENESIS"	"CV <20%"	1.39278673651979	0.269073966220151	"estimable"	"1.39"
"D3"	"APICAL_JUNCTION"	"CV <20%"	1.15314477894189	0.386888233870164	"estimable"	"1.15"
"D3"	"APICAL_SURFACE"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"APOPTOSIS"	"CV <20%"	1.01976811321884	0.598668676058744	"estimable"	"1.02"
"D3"	"BILE_ACID_METABOLISM"	"CV <20%"	-0.84708783464837	0.806344806344806	"estimable"	"-0.85"
"D3"	"CHOLESTEROL_HOMEOSTASIS"	"CV <20%"	-1.10914275948139	0.460404280618312	"estimable"	"-1.11"
"D3"	"COAGULATION"	"CV <20%"	1.144428965	0.386888233870164	"estimable"	"1.14"
"D3"	"COMPLEMENT"	"CV <20%"	-1.64726116139203	0.0274704239432306	"estimable"	"-1.65*"
"D3"	"DNA_REPAIR"	"CV <20%"	-0.720475614330485	0.944381602408022	"estimable"	"-0.72"
"D3"	"E2F_TARGETS"	"CV <20%"	1.15270016994851	0.386888233870164	"estimable"	"1.15"
"D3"	"EPITHELIAL_MESENCHYMAL_TRANSITION"	"CV <20%"	2.38339633840494	5.86146275507539e-08	"estimable"	"2.38***"
"D3"	"ESTROGEN_RESPONSE_EARLY"	"CV <20%"	1.5503102579423	0.0913432185059197	"estimable"	"1.55"
"D3"	"ESTROGEN_RESPONSE_LATE"	"CV <20%"	1.70799001893125	0.0313559909839162	"estimable"	"1.71*"
"D3"	"FATTY_ACID_METABOLISM"	"CV <20%"	1.18089998540859	0.386888233870164	"estimable"	"1.18"
"D3"	"G2M_CHECKPOINT"	"CV <20%"	1.67969042254323	0.0313559909839162	"estimable"	"1.68*"
"D3"	"GLYCOLYSIS"	"CV <20%"	1.18587822956182	0.386888233870164	"estimable"	"1.19"
"D3"	"HEDGEHOG_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"HEME_METABOLISM"	"CV <20%"	-1.12610041740556	0.386888233870164	"estimable"	"-1.13"
"D3"	"HYPOXIA"	"CV <20%"	1.65392986127641	0.0313559909839162	"estimable"	"1.65*"
"D3"	"IL2_STAT5_SIGNALING"	"CV <20%"	0.978444192209251	0.674288809344386	"estimable"	"0.98"
"D3"	"IL6_JAK_STAT3_SIGNALING"	"CV <20%"	-1.02538025574644	0.598668676058744	"estimable"	"-1.03"
"D3"	"INFLAMMATORY_RESPONSE"	"CV <20%"	-1.33072943518856	0.258117822027597	"estimable"	"-1.33"
"D3"	"INTERFERON_ALPHA_RESPONSE"	"CV <20%"	-1.15000335295509	0.390706028913289	"estimable"	"-1.15"
"D3"	"INTERFERON_GAMMA_RESPONSE"	"CV <20%"	-1.25935962383466	0.269073966220151	"estimable"	"-1.26"
"D3"	"KRAS_SIGNALING_DN"	"CV <20%"	1.56998193318221	0.18128364389234	"estimable"	"1.57"
"D3"	"KRAS_SIGNALING_UP"	"CV <20%"	1.33499655112702	0.269073966220151	"estimable"	"1.33"
"D3"	"MITOTIC_SPINDLE"	"CV <20%"	0.853005470863946	0.843660178279061	"estimable"	"0.85"
"D3"	"MTORC1_SIGNALING"	"CV <20%"	-0.921951072289888	0.806344806344806	"estimable"	"-0.92"
"D3"	"MYC_TARGETS_V1"	"CV <20%"	1.19370080346962	0.341687257324391	"estimable"	"1.19"
"D3"	"MYC_TARGETS_V2"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"MYOGENESIS"	"CV <20%"	2.04994817719093	0.000350435755277906	"estimable"	"2.05***"
"D3"	"NOTCH_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"OXIDATIVE_PHOSPHORYLATION"	"CV <20%"	-1.56775055184772	0.0315954690963311	"estimable"	"-1.57*"
"D3"	"P53_PATHWAY"	"CV <20%"	1.18939483656694	0.386888233870164	"estimable"	"1.19"
"D3"	"PANCREAS_BETA_CELLS"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"PEROXISOME"	"CV <20%"	-0.712767309941947	0.944381602408022	"estimable"	"-0.71"
"D3"	"PI3K_AKT_MTOR_SIGNALING"	"CV <20%"	-0.888450238488229	0.806344806344806	"estimable"	"-0.89"
"D3"	"PROTEIN_SECRETION"	"CV <20%"	-1.61421400438813	0.0315954690963311	"estimable"	"-1.61*"
"D3"	"REACTIVE_OXYGEN_SPECIES_PATHWAY"	"CV <20%"	-0.635501096542303	0.949182588142604	"estimable"	"-0.64"
"D3"	"SPERMATOGENESIS"	"CV <20%"	-0.860432139195249	0.806344806344806	"estimable"	"-0.86"
"D3"	"TGF_BETA_SIGNALING"	"CV <20%"	-0.847963556724886	0.806344806344806	"estimable"	"-0.85"
"D3"	"TNFA_SIGNALING_VIA_NFKB"	"CV <20%"	0.950053871954416	0.711775504851823	"estimable"	"0.95"
"D3"	"UNFOLDED_PROTEIN_RESPONSE"	"CV <20%"	1.15209174494235	0.386888233870164	"estimable"	"1.15"
"D3"	"UV_RESPONSE_DN"	"CV <20%"	0.853900140502717	0.806344806344806	"estimable"	"0.85"
"D3"	"UV_RESPONSE_UP"	"CV <20%"	1.37245551210272	0.245175936435868	"estimable"	"1.37"
"D3"	"WNT_BETA_CATENIN_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"XENOBIOTIC_METABOLISM"	"CV <20%"	-1.21459639638066	0.333980861932513	"estimable"	"-1.21"
"D5"	"ADIPOGENESIS"	"CV <20%"	1.15400281662087	0.478417152434461	"estimable"	"1.15"
"D5"	"ALLOGRAFT_REJECTION"	"CV <20%"	1.19165432838383	0.478417152434461	"estimable"	"1.19"
"D5"	"ANDROGEN_RESPONSE"	"CV <20%"	0.887635570621159	0.780846600024682	"estimable"	"0.89"
"D5"	"ANGIOGENESIS"	"CV <20%"	1.27222844844272	0.478417152434461	"estimable"	"1.27"
"D5"	"APICAL_JUNCTION"	"CV <20%"	1.12729787689277	0.517575567080518	"estimable"	"1.13"
"D5"	"APICAL_SURFACE"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"APOPTOSIS"	"CV <20%"	1.06489765116362	0.613817846994015	"estimable"	"1.06"
"D5"	"BILE_ACID_METABOLISM"	"CV <20%"	1.47034324065157	0.3412047228337	"estimable"	"1.47"
"D5"	"CHOLESTEROL_HOMEOSTASIS"	"CV <20%"	0.691962328602527	0.94875464647067	"estimable"	"0.69"
"D5"	"COAGULATION"	"CV <20%"	0.821627989385286	0.923286986095829	"estimable"	"0.82"
"D5"	"COMPLEMENT"	"CV <20%"	0.694033345556506	0.981715781910181	"estimable"	"0.69"
"D5"	"DNA_REPAIR"	"CV <20%"	1.026259510311	0.675275834416392	"estimable"	"1.03"
"D5"	"E2F_TARGETS"	"CV <20%"	1.12651853445147	0.554158831766353	"estimable"	"1.13"
"D5"	"EPITHELIAL_MESENCHYMAL_TRANSITION"	"CV <20%"	1.9378599732838	5.67225701777406e-06	"estimable"	"1.94***"
"D5"	"ESTROGEN_RESPONSE_EARLY"	"CV <20%"	1.45393150439003	0.3412047228337	"estimable"	"1.45"
"D5"	"ESTROGEN_RESPONSE_LATE"	"CV <20%"	1.22773406461912	0.478417152434461	"estimable"	"1.23"
"D5"	"FATTY_ACID_METABOLISM"	"CV <20%"	0.804892980282301	0.923286986095829	"estimable"	"0.80"
"D5"	"G2M_CHECKPOINT"	"CV <20%"	1.10343115795596	0.554158831766353	"estimable"	"1.10"
"D5"	"GLYCOLYSIS"	"CV <20%"	1.17759016646563	0.478417152434461	"estimable"	"1.18"
"D5"	"HEDGEHOG_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"HEME_METABOLISM"	"CV <20%"	0.950106811545246	0.775072661591142	"estimable"	"0.95"
"D5"	"HYPOXIA"	"CV <20%"	1.3427194231966	0.3412047228337	"estimable"	"1.34"
"D5"	"IL2_STAT5_SIGNALING"	"CV <20%"	1.331793222081	0.407722007722008	"estimable"	"1.33"
"D5"	"IL6_JAK_STAT3_SIGNALING"	"CV <20%"	0.889840663801732	0.780846600024682	"estimable"	"0.89"
"D5"	"INFLAMMATORY_RESPONSE"	"CV <20%"	0.957849534479476	0.760493827160494	"estimable"	"0.96"
"D5"	"INTERFERON_ALPHA_RESPONSE"	"CV <20%"	0.953810692687178	0.760493827160494	"estimable"	"0.95"
"D5"	"INTERFERON_GAMMA_RESPONSE"	"CV <20%"	1.09140798157557	0.554158831766353	"estimable"	"1.09"
"D5"	"KRAS_SIGNALING_DN"	"CV <20%"	1.07699541621101	0.613817846994015	"estimable"	"1.08"
"D5"	"KRAS_SIGNALING_UP"	"CV <20%"	1.29263308347743	0.459879518072289	"estimable"	"1.29"
"D5"	"MITOTIC_SPINDLE"	"CV <20%"	1.16034900621664	0.478417152434461	"estimable"	"1.16"
"D5"	"MTORC1_SIGNALING"	"CV <20%"	0.859500989957277	0.913256042816771	"estimable"	"0.86"
"D5"	"MYC_TARGETS_V1"	"CV <20%"	0.991233758268169	0.755991067559911	"estimable"	"0.99"
"D5"	"MYC_TARGETS_V2"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"MYOGENESIS"	"CV <20%"	1.09921849179222	0.554158831766353	"estimable"	"1.10"
"D5"	"NOTCH_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"OXIDATIVE_PHOSPHORYLATION"	"CV <20%"	1.21223210544002	0.478417152434461	"estimable"	"1.21"
"D5"	"P53_PATHWAY"	"CV <20%"	1.18091208934112	0.478417152434461	"estimable"	"1.18"
"D5"	"PANCREAS_BETA_CELLS"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"PEROXISOME"	"CV <20%"	1.22363373342345	0.478417152434461	"estimable"	"1.22"
"D5"	"PI3K_AKT_MTOR_SIGNALING"	"CV <20%"	0.963548686810758	0.760493827160494	"estimable"	"0.96"
"D5"	"PROTEIN_SECRETION"	"CV <20%"	1.03987845884053	0.649758523133198	"estimable"	"1.04"
"D5"	"REACTIVE_OXYGEN_SPECIES_PATHWAY"	"CV <20%"	1.21216838484016	0.479765576804442	"estimable"	"1.21"
"D5"	"SPERMATOGENESIS"	"CV <20%"	0.50335082740403	0.982418260333128	"estimable"	"0.50"
"D5"	"TGF_BETA_SIGNALING"	"CV <20%"	1.37426567804301	0.457538112753603	"estimable"	"1.37"
"D5"	"TNFA_SIGNALING_VIA_NFKB"	"CV <20%"	1.63524207088574	0.0965289984719516	"estimable"	"1.64"
"D5"	"UNFOLDED_PROTEIN_RESPONSE"	"CV <20%"	1.31799926099661	0.422907488986784	"estimable"	"1.32"
"D5"	"UV_RESPONSE_DN"	"CV <20%"	0.622500242813412	0.981715781910181	"estimable"	"0.62"
"D5"	"UV_RESPONSE_UP"	"CV <20%"	1.36333322789695	0.3412047228337	"estimable"	"1.36"
"D5"	"WNT_BETA_CATENIN_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D5"	"XENOBIOTIC_METABOLISM"	"CV <20%"	0.926414989719057	0.780846600024682	"estimable"	"0.93"
"D1"	"ADIPOGENESIS"	"CV off"	0.996127244927427	0.75912096290371	"estimable"	"1.00"
"D1"	"ALLOGRAFT_REJECTION"	"CV off"	1.1654300006176	0.261998800119988	"estimable"	"1.17"
"D1"	"ANDROGEN_RESPONSE"	"CV off"	1.06563145832263	0.58061332587984	"estimable"	"1.07"
"D1"	"ANGIOGENESIS"	"CV off"	1.10765008932663	0.528034723723075	"estimable"	"1.11"
"D1"	"APICAL_JUNCTION"	"CV off"	0.956869603239275	0.802834210526316	"estimable"	"0.96"
"D1"	"APICAL_SURFACE"	"CV off"	0.852882777372366	0.858251674832517	"estimable"	"0.85"
"D1"	"APOPTOSIS"	"CV off"	1.30480169444024	0.0676616251452688	"estimable"	"1.30"
"D1"	"BILE_ACID_METABOLISM"	"CV off"	1.33373621268207	0.105291925848371	"estimable"	"1.33"
"D1"	"CHOLESTEROL_HOMEOSTASIS"	"CV off"	1.13015636084521	0.467083083083083	"estimable"	"1.13"
"D1"	"COAGULATION"	"CV off"	1.10805886166036	0.429152539291525	"estimable"	"1.11"
"D1"	"COMPLEMENT"	"CV off"	0.913168016051098	0.877394306038225	"estimable"	"0.91"
"D1"	"DNA_REPAIR"	"CV off"	1.40280558339247	0.0270189321955313	"estimable"	"1.40*"
"D1"	"E2F_TARGETS"	"CV off"	1.31377131155469	0.0858818181818182	"estimable"	"1.31"
"D1"	"EPITHELIAL_MESENCHYMAL_TRANSITION"	"CV off"	1.45031468162089	0.000441238379701732	"estimable"	"1.45***"
"D1"	"ESTROGEN_RESPONSE_EARLY"	"CV off"	1.26817011686243	0.13189375	"estimable"	"1.27"
"D1"	"ESTROGEN_RESPONSE_LATE"	"CV off"	1.36143644609991	0.0270189321955313	"estimable"	"1.36*"
"D1"	"FATTY_ACID_METABOLISM"	"CV off"	1.2252556586596	0.124380895243809	"estimable"	"1.23"
"D1"	"G2M_CHECKPOINT"	"CV off"	1.40420794867317	0.020541156761265	"estimable"	"1.40*"
"D1"	"GLYCOLYSIS"	"CV off"	1.62901972726253	1.25451828290242e-06	"estimable"	"1.63***"
"D1"	"HEDGEHOG_SIGNALING"	"CV off"	0.768115093343294	0.885984691571891	"estimable"	"0.77"
"D1"	"HEME_METABOLISM"	"CV off"	1.0955403041507	0.43627303936273	"estimable"	"1.10"
"D1"	"HYPOXIA"	"CV off"	1.73053016313713	1.14099227690254e-07	"estimable"	"1.73***"
"D1"	"IL2_STAT5_SIGNALING"	"CV off"	1.20072250439844	0.207294736842105	"estimable"	"1.20"
"D1"	"IL6_JAK_STAT3_SIGNALING"	"CV off"	0.83753715621095	0.877394306038225	"estimable"	"0.84"
"D1"	"INFLAMMATORY_RESPONSE"	"CV off"	0.910493366051067	0.858251674832517	"estimable"	"0.91"
"D1"	"INTERFERON_ALPHA_RESPONSE"	"CV off"	0.784253526534947	0.920801398121058	"estimable"	"0.78"
"D1"	"INTERFERON_GAMMA_RESPONSE"	"CV off"	0.957440044045438	0.802834210526316	"estimable"	"0.96"
"D1"	"KRAS_SIGNALING_DN"	"CV off"	0.941725259256675	0.802834210526316	"estimable"	"0.94"
"D1"	"KRAS_SIGNALING_UP"	"CV off"	0.975034854140769	0.802834210526316	"estimable"	"0.98"
"D1"	"MITOTIC_SPINDLE"	"CV off"	0.894811488082117	0.877394306038225	"estimable"	"0.89"
"D1"	"MTORC1_SIGNALING"	"CV off"	1.3897525156752	0.00343891280324561	"estimable"	"1.39**"
"D1"	"MYC_TARGETS_V1"	"CV off"	1.63733579898128	5.98358497442831e-08	"estimable"	"1.64***"
"D1"	"MYC_TARGETS_V2"	"CV off"	1.33200570051395	0.199088109474794	"estimable"	"1.33"
"D1"	"MYOGENESIS"	"CV off"	1.240949095743	0.124380895243809	"estimable"	"1.24"
"D1"	"NOTCH_SIGNALING"	"CV off"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"OXIDATIVE_PHOSPHORYLATION"	"CV off"	0.478265190827386	1	"estimable"	"0.48"
"D1"	"P53_PATHWAY"	"CV off"	1.11196909508997	0.43627303936273	"estimable"	"1.11"
"D1"	"PANCREAS_BETA_CELLS"	"CV off"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"PEROXISOME"	"CV off"	1.32990075422747	0.105291925848371	"estimable"	"1.33"
"D1"	"PI3K_AKT_MTOR_SIGNALING"	"CV off"	1.08268383660095	0.523841273016191	"estimable"	"1.08"
"D1"	"PROTEIN_SECRETION"	"CV off"	0.817774663497523	0.920801398121058	"estimable"	"0.82"
"D1"	"REACTIVE_OXYGEN_SPECIES_PATHWAY"	"CV off"	1.2002094190021	0.378370884544963	"estimable"	"1.20"
"D1"	"SPERMATOGENESIS"	"CV off"	1.06042325707034	0.614877944214205	"estimable"	"1.06"
"D1"	"TGF_BETA_SIGNALING"	"CV off"	1.05579877635388	0.614877944214205	"estimable"	"1.06"
"D1"	"TNFA_SIGNALING_VIA_NFKB"	"CV off"	0.942284827684227	0.802834210526316	"estimable"	"0.94"
"D1"	"UNFOLDED_PROTEIN_RESPONSE"	"CV off"	1.22032312861872	0.203948172595037	"estimable"	"1.22"
"D1"	"UV_RESPONSE_DN"	"CV off"	0.941317298810231	0.802834210526316	"estimable"	"0.94"
"D1"	"UV_RESPONSE_UP"	"CV off"	1.08260201306689	0.515734615384615	"estimable"	"1.08"
"D1"	"WNT_BETA_CATENIN_SIGNALING"	"CV off"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"XENOBIOTIC_METABOLISM"	"CV off"	1.42161783061853	0.00650200798192264	"estimable"	"1.42**"
"D3"	"ADIPOGENESIS"	"CV off"	0.918600316832516	0.788153029506941	"estimable"	"0.92"
"D3"	"ALLOGRAFT_REJECTION"	"CV off"	-1.30468834977664	0.215819428275773	"estimable"	"-1.30"
"D3"	"ANDROGEN_RESPONSE"	"CV off"	-0.898098964932045	0.788153029506941	"estimable"	"-0.90"
"D3"	"ANGIOGENESIS"	"CV off"	1.53557349808499	0.136496590887732	"estimable"	"1.54"
"D3"	"APICAL_JUNCTION"	"CV off"	1.17005809280196	0.362756696337513	"estimable"	"1.17"
"D3"	"APICAL_SURFACE"	"CV off"	1.2725020046355	0.362756696337513	"estimable"	"1.27"
"D3"	"APOPTOSIS"	"CV off"	1.08520233787959	0.478089216719354	"estimable"	"1.09"
"D3"	"BILE_ACID_METABOLISM"	"CV off"	-1.03179035618072	0.595619327557756	"estimable"	"-1.03"
"D3"	"CHOLESTEROL_HOMEOSTASIS"	"CV off"	-1.12723872921384	0.478089216719354	"estimable"	"-1.13"
"D3"	"COAGULATION"	"CV off"	1.08570607220106	0.478089216719354	"estimable"	"1.09"
"D3"	"COMPLEMENT"	"CV off"	-1.48961360479903	0.0402090753437934	"estimable"	"-1.49*"
"D3"	"DNA_REPAIR"	"CV off"	-0.739142894449089	0.92206456919597	"estimable"	"-0.74"
"D3"	"E2F_TARGETS"	"CV off"	1.34673937684168	0.215819428275773	"estimable"	"1.35"
"D3"	"EPITHELIAL_MESENCHYMAL_TRANSITION"	"CV off"	2.6100573200321	5.81574021486726e-13	"estimable"	"2.61***"
"D3"	"ESTROGEN_RESPONSE_EARLY"	"CV off"	1.62024800990726	0.0402090753437934	"estimable"	"1.62*"
"D3"	"ESTROGEN_RESPONSE_LATE"	"CV off"	1.73702492321861	0.010453022808887	"estimable"	"1.74*"
"D3"	"FATTY_ACID_METABOLISM"	"CV off"	0.839831979115782	0.847082513179031	"estimable"	"0.84"
"D3"	"G2M_CHECKPOINT"	"CV off"	1.49497444770679	0.103030561510497	"estimable"	"1.49"
"D3"	"GLYCOLYSIS"	"CV off"	1.36971564077016	0.136496590887732	"estimable"	"1.37"
"D3"	"HEDGEHOG_SIGNALING"	"CV off"	-0.983372964824992	0.658469141252498	"estimable"	"-0.98"
"D3"	"HEME_METABOLISM"	"CV off"	-1.13750756351085	0.371674478057094	"estimable"	"-1.14"
"D3"	"HYPOXIA"	"CV off"	1.75888760011133	0.00569465030656844	"estimable"	"1.76**"
"D3"	"IL2_STAT5_SIGNALING"	"CV off"	0.886393475097439	0.788153029506941	"estimable"	"0.89"
"D3"	"IL6_JAK_STAT3_SIGNALING"	"CV off"	1.11900114438326	0.478089216719354	"estimable"	"1.12"
"D3"	"INFLAMMATORY_RESPONSE"	"CV off"	-1.0388597595447	0.584279592040132	"estimable"	"-1.04"
"D3"	"INTERFERON_ALPHA_RESPONSE"	"CV off"	-0.892346900029356	0.788153029506941	"estimable"	"-0.89"
"D3"	"INTERFERON_GAMMA_RESPONSE"	"CV off"	-1.2161782044843	0.287760489805089	"estimable"	"-1.22"
"D3"	"KRAS_SIGNALING_DN"	"CV off"	1.52334696604452	0.136496590887732	"estimable"	"1.52"
"D3"	"KRAS_SIGNALING_UP"	"CV off"	1.39055167062313	0.158045762281239	"estimable"	"1.39"
"D3"	"MITOTIC_SPINDLE"	"CV off"	0.799507561093017	0.904721082854799	"estimable"	"0.80"
"D3"	"MTORC1_SIGNALING"	"CV off"	-0.913394816637569	0.788153029506941	"estimable"	"-0.91"
"D3"	"MYC_TARGETS_V1"	"CV off"	1.13949692108695	0.371674478057094	"estimable"	"1.14"
"D3"	"MYC_TARGETS_V2"	"CV off"	1.3758464027833	0.286023548654792	"estimable"	"1.38"
"D3"	"MYOGENESIS"	"CV off"	2.05232651646429	7.74572858102979e-05	"estimable"	"2.05***"
"D3"	"NOTCH_SIGNALING"	"CV off"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"OXIDATIVE_PHOSPHORYLATION"	"CV off"	-1.96390137138816	1.59100565329687e-05	"estimable"	"-1.96***"
"D3"	"P53_PATHWAY"	"CV off"	-0.987386740051206	0.658469141252498	"estimable"	"-0.99"
"D3"	"PANCREAS_BETA_CELLS"	"CV off"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D3"	"PEROXISOME"	"CV off"	-0.810167421601782	0.847082513179031	"estimable"	"-0.81"
"D3"	"PI3K_AKT_MTOR_SIGNALING"	"CV off"	-1.25407121471989	0.287760489805089	"estimable"	"-1.25"
"D3"	"PROTEIN_SECRETION"	"CV off"	-1.41198933494351	0.136496590887732	"estimable"	"-1.41"
"D3"	"REACTIVE_OXYGEN_SPECIES_PATHWAY"	"CV off"	-0.909058400712289	0.788153029506941	"estimable"	"-0.91"
