pathway	NES_unweighted	FDR_unweighted	leadingEdge_unweighted	NES_weighted	FDR_weighted	leadingEdge_weighted	delta_NES	direction_agreement	FDR_class	leading_edge_jaccard	scenario
COMPLEMENT	1.56024599719434	0.00582955878127514	ITGAM;CR1;ADAM9;PLSCR1;PIK3CG;LCP2;HSPA1A;PRKCD;DGKH;LYN;PCSK9;IRF2;TIMP2;COL4A2;CD55;S100A12;PSEN1;RHOG;SERPINA1;PIM1;CDK5R1;GCA;JAK2;RAF1;RABIF;F5;EHD1;CD59;USP15;S100A9;GRB2;PIK3R5;CA2;CEBPB;CASP4;CDA;VCPIP1;MSRB1;PIK3CA;SERPINE1;PRSS36;C1R;CLU;BRPF3;TNFAIP3;AKAP10;WAS;LAMP2;CPM;GNAI3;MMP8;GNB2;CTSD	1.68154743291526	0.00122628942144099	ITGAM;CR1;ADAM9;PRKCD;HSPA1A;TIMP2;PLSCR1;PIK3CG;GCA;LYN;S100A12;PCSK9;SERPINA1;LCP2;RHOG;CD59;DGKH;PIM1;CD55;MSRB1;IRF2;PSEN1;EHD1;RABIF;S100A9;CDK5R1;F5;CDA;COL4A2;JAK2;GRB2;RAF1;SERPINE1;CEBPB;AKAP10;TNFAIP3;PIK3R5;MMP8;VCPIP1;CLU;PIK3CA;GNB2;GNAI3;LAMP2;PRSS36;CASP4;USP15;C1R;BRPF3;CTSD;CA2	0.121301435720916	TRUE	both	0.962264150943396	entry4_SOFA_D3
DNA_REPAIR	-1.623592292962	0.00292295890245397	RNMT;GTF2H1;GTF2H3;NUDT21;ERCC8;NELFCD;SRSF6;ADA;APRT;NCBP2;POLR2D;IMPDH2;DUT;POLR1H;ERCC4;LIG1;PCNA;SF3A3;ITPA;MRPL40;POLR2K;RFC3;POLR1C;POLR2C;RPA3;NFX1;UMPS;NME3;SEC61A1;ERCC3;AK3;EDF1;NME1;TMED2;PDE4B;GTF2A2;TP53;RFC4;TAF9;ERCC5	-1.55113730865596	0.00674211268020074	GTF2H3;RNMT;GTF2H1;ERCC8;NELFCD;NUDT21;ADA;MRPL40;SRSF6;SF3A3;NCBP2;POLR1H;ERCC4;APRT;POLR2D;LIG1;NFX1;DUT;IMPDH2;ERCC3;ITPA;EDF1;POLR1C;UMPS;RPA3;RFC3;PCNA;POLR2K;POLR2C;ERCC5;NME1;GTF2A2;NME3;TP53;RFC4;AK3;AAAS;TAF9;SEC61A1;SSRP1;DDB2;TMED2;GTF2H5;DDB1;PDE4B;RFC5;POLB;REV3L;POLR2H;GSDME;SNAPC5;HPRT1;TARBP2;NELFE;ELOA;MPG;TAF1C;ALYREF;NUDT9;SMAD5;POLD1;CSTF3;POLR3C;UPF3B;RALA;RAD52	0.0724549843060425	TRUE	both	0.606060606060606	entry4_SOFA_D3
E2F_TARGETS	-1.88748337101442	1.38080356824587e-05	SYNCRIP;NOP56;EED;NUDT21;MAD2L1;RAN;PPP1R8;CNOT9;MYC;EIF2S1;AK2;PAICS;KIF22;SLBP;STMN1;SRSF2;ASF1A;PMS2;TMPO;DCTPP1;DUT;RAD50;WDR90;PHF5A;LIG1;PCNA;PRDX4;IPO7;RFC3;MLH1;HNRNPD;CSE1L;RAD1;RPA3;CDC25B;NUP205;RBBP7;CDK4;NUP107;DNMT1;NME1;TBRG4;SMC3;TP53;RPA1;ILF3;MCM3;CENPM;NAP1L1;PAN2;XRCC6;MRE11;CTPS1;SSRP1;SMC1A;RFC1;TRA2B;RANBP1;CDK1;MSH2;SNRPB;MCM5;POLE;SMC4;ZW10;RNASEH2A;CKS1B;CBX5;SRSF1;MTHFD2;NOLC1;POLD1;DSCC1;UBR7;RRM2;MCM7	-1.79104562429361	5.57363283654835e-05	SYNCRIP;EED;MAD2L1;NOP56;RAN;PPP1R8;MYC;NUDT21;CNOT9;AK2;STMN1;PAICS;ASF1A;EIF2S1;PMS2;KIF22;TMPO;RAD50;PHF5A;WDR90;IPO7;HNRNPD;LIG1;DCTPP1;DUT;CDC25B;PRDX4;MLH1;RPA3;RFC3;DNMT1;RAD1;PCNA;SLBP;PAN2;NUP205;NME1;NUP107;CDK4;RBBP7;TP53;CSE1L;RANBP1;ILF3;MRE11;SRSF2;SMC1A;SMC3;MCM3;RFC1;SSRP1;CTPS1;CBX5;MSH2;TBRG4;NOLC1;RPA1;NAP1L1;CENPM;XRCC6;MCM5;HELLS;ZW10;CCNE1;CKS1B;CDKN2A;MCM7;RNASEH2A;RRM2;UBE2T;POLD2;SRSF1;LYAR;SMC4;POLE;MTHFD2;PRPS1;CDK1;PRIM2;POLD1;TRA2B;DSCC1;RAD51C;GINS3;SNRPB;UBR7;POLE4;LUC7L3;TIMELESS;BRMS1L;TIPIN;TUBB;EXOSC8;ORC6;MMS22L;DCK;PLK4;TCF19;EZH2;UNG	0.0964377467208053	TRUE	both	0.76	entry4_SOFA_D3
EPITHELIAL_MESENCHYMAL_TRANSITION	1.05349506756673	0.458508738496062	GADD45A;BASP1;COL4A2;FBN2;FAS;PCOLCE2;EFEMP2;QSOX1;CAPG;CD59;CD44;NOTCH2;COL7A1;PFN2;TGFB1;SERPINE1;AREG;WIPF1;COLGALT1;TNFAIP3;PDLIM4;TPM1;PLOD1;COPA;GADD45B;COL6A3;LOXL1;THBS1;ACTA2;ANPEP;ITGA5;VIM	1.14179058123221	0.297381739052315	GADD45A;BASP1;FBN2;PCOLCE2;CD59;QSOX1;EFEMP2;CD44;FAS;CAPG;COL4A2;SERPINE1;TGFB1;COLGALT1;AREG;COL7A1;NOTCH2;GADD45B;TNFAIP3;LOXL1;TPM1;PFN2;PLOD1;THBS1;COPA;COL6A3;PDLIM4	0.0882955136654751	TRUE	neither	0.84375	entry4_SOFA_D3
ESTROGEN_RESPONSE_EARLY	1.37502066992804	0.0572057678165915	FKBP5;AFF1;IGF1R;SVIL;MREG;KAZN;MED13L;OLFML3;CA12;RARA;TTC39A;KDM4B;RAB31;SLC2A1;TIPARP;JAK2;SIAH2;GAB2;CHPT1;MINDY1;INHBB;FOXC1;RHOBTB3;TOB1;UGCG;CD44;ANXA9;FHL2;GLA;CANT1;AREG;TUBB2B;DHCR7;NADSYN1;B4GALT1;SH3BP5;FLNB;CISH;AMFR;DLC1;RAPGEFL1;BAG1;SLC7A5;TMEM164;KCNK5;MAST4;IL17RB;ALDH3B1;IL6ST;ABHD2;PODXL;SEMA3B;ELF3;ADD3;ITPK1;TGM2;SLC24A3;ELF1;MAPT;ARL3;ABAT	1.46337811310101	0.0213593685060305	IGF1R;AFF1;FKBP5;RAB31;SVIL;MED13L;RARA;MREG;TIPARP;TTC39A;UGCG;SLC2A1;FOXC1;KDM4B;MINDY1;GAB2;KAZN;CD44;TOB1;CANT1;OLFML3;JAK2;CHPT1;DHCR7;GLA;RHOBTB3;INHBB;SIAH2;FHL2;AREG;B4GALT1;NADSYN1;CISH;ANXA9;CA12;SH3BP5;KCNK5;TUBB2B;FLNB;TMEM164;MAST4;ALDH3B1;DLC1;IL17RB;AMFR;RAPGEFL1;SLC7A5;ABHD2;IL6ST	0.0883574431729746	TRUE	IPW_only	0.80327868852459	entry4_SOFA_D3
ESTROGEN_RESPONSE_LATE	1.06854169632649	0.441051158451252	ATP2B4;FKBP5;AFF1;MAPK13;CA12;RAB31;SERPINA1;JAK2;CCNA1;SIAH2;IMPA2;CHPT1;FOXC1;TOB1;BATF;S100A9;CD44;ANXA9;SNX10;CA2;GLA;JAK1;AREG;DHCR7;PTPN6;ST6GALNAC2;FLNB;CISH;CKB;AMFR;XRCC3;RAPGEFL1;BAG1;SLC7A5;HSPA4L;ZFP36;KCNK5	1.15470017802988	0.265824578449829	ATP2B4;AFF1;FKBP5;RAB31;SERPINA1;IMPA2;FOXC1;CCNA1;BATF;MAPK13;S100A9;CD44;TOB1;SNX10;JAK2;ST6GALNAC2;CHPT1;DHCR7;GLA;SIAH2;AREG;PTPN6;JAK1;CISH;ANXA9;CA12;CA2;KCNK5;FLNB;CKB;ZFP36;ALDH3B1;IL17RB;AMFR;RAPGEFL1;XRCC3;SLC7A5;ABHD2;IL6ST;HSPA4L	0.0861584817033863	TRUE	neither	0.878048780487805	entry4_SOFA_D3
FATTY_ACID_METABOLISM	-1.33413893267166	0.0698921337225046	OSTC;MDH1;METAP1;APEX1;ECHS1;ACSS1;ACAA2;ACAT2;ECI1;HADH;SUCLG2;HSD17B10;MCEE;CBR1;ADSL;ACADM;PSME1;HSPH1;SDHD;ALDH3A2;BCKDHB;HSD17B4;ACOT2;BPHL;ACSL5;PCBD1;HMGCS1;HSP90AA1;PDHA1;UGDH;ODC1;ECI2;CPT2;SUCLA2;GCDH;RAP1GDS1;PTS;XIST;CD36;MIF;ENO2;BLVRA;MIX23;EHHADH;NTHL1;ALDH9A1;ACO2;HSD17B7;SMS;IDH3B;MDH2;FH;CPOX;RDH11;ECH1;MLYCD;TP53INP2;S100A10;ALDH1A1;DLST;H2AZ1;IDH3G	-1.22844970636841	0.147542412500693	OSTC;MDH1;METAP1;APEX1;ECHS1;ACSS1;ACAA2;SUCLG2;ECI1;HADH;ACAT2;HSD17B10;MCEE;CBR1;ACADM;SDHD;BPHL;ADSL;HSD17B4;ACOT2;ECI2;ACSL5;UGDH;PDHA1;BCKDHB;PSME1;MIX23;BLVRA;CPT2;ODC1;RAP1GDS1;CD36;PCBD1;ALDH3A2;GCDH;HMGCS1;NTHL1;MIF;SUCLA2;HSD17B7;HSPH1;PTS;SMS;FH;ENO2;MDH2;XIST;EHHADH;ACO2;S100A10;IDH3B;MLYCD;CD1D;CRYZ;ALDH1A1;ECH1;IDH3G;RDH11;ALDH9A1;CPOX;HSP90AA1;UROS;DLST;ERP29	0.105689226303251	TRUE	neither	0.909090909090909	entry4_SOFA_D3
G2M_CHECKPOINT	-1.00025304536745	0.537539295392954	SYNCRIP;BUB3;SLC38A1;G3BP1;SRSF10;MAD2L1;PURA;MYC;SLC12A2;NCL;KIF22;STMN1;SRSF2;CUL5;HSPA8;H2AZ2;TMPO;ORC5;HNRNPD;RPS6KA5;TENT4A;CDC25B;MTF2;CDK4;HMGN2;PRP4K;ILF3;MCM3;CUL1;UCK2;SNRPD1;ODC1;SMC1A;SS18;DTYMK;ABL1;TRA2B;SMC2;CDK1;FBXO5;MCM5;POLE;SMC4;NDC80;CKS1B;SRSF1;SMARCC1;CCNT1;NOLC1;SMAD3	-0.889264315262106	0.786443401963339	BUB3;SYNCRIP;G3BP1;SLC38A1;SRSF10;MAD2L1;PURA;NCL;MYC;CUL5;STMN1;KIF22;TMPO;RPS6KA5;HNRNPD;CDC25B;H2AZ2;HSPA8;PRP4K;SLC12A2;CDK4;TENT4A;ORC5;MTF2;ILF3;SRSF2;SMC1A;UCK2;MCM3;SS18;SNRPD1;ODC1;NOLC1;CUL1;DTYMK;SMAD3;FBXO5;HMGN2;MCM5;ABL1;NDC80;SMARCC1;SMC2;CKS1B;RASAL2;ODF2;MNAT1;GINS2	0.110988730105344	TRUE	neither	0.814814814814815	entry4_SOFA_D3
GLYCOLYSIS	1.02165845669308	0.516894612960487	TGFA;PYGL;PHKA2;TPST1;IRS2;ABCB6;HK2;B4GALT4;PDK3;PKM;EXT1;DSC2;P4HA2;LCT;QSOX1;ANKZF1;SAP30;MERTK;PKP2;CD44;SPAG4;RRAGD;IL13RA1;LDHA;G6PD;DEPDC1;PGM2;SLC16A3;B4GALT1;TALDO1;PAM;ALDOA;PGK1;PLOD1;ZNF292;ME2;IER3;RBCK1	1.23781111854907	0.146756298846805	TGFA;PYGL;PHKA2;IRS2;TPST1;HK2;PKM;B4GALT4;PDK3;P4HA2;RRAGD;ABCB6;QSOX1;DSC2;SPAG4;MERTK;EXT1;CD44;LCT;LDHA;SLC16A3;PGM2;G6PD;PAM;ANKZF1;IL13RA1;PKP2;TALDO1;PGK1;B4GALT1;IER3;SAP30;ALDOA;ME2;DEPDC1;PLOD1	0.21615266185599	TRUE	neither	0.947368421052632	entry4_SOFA_D3
HEDGEHOG_SIGNALING	1.44153558930456	0.108086397715102	ETS2;SLIT1;CDK5R1;NF1;GLI1;TLE3;TLE1;MYH9;RASA1;ACHE;PML	1.29990471551572	0.204185494282553	ETS2;SLIT1;CDK5R1;NF1;TLE3;GLI1;MYH9;TLE1;RASA1	-0.141630873788836	TRUE	neither	0.818181818181818	entry4_SOFA_D3
