entry_name	entry	spec	variable	SMD_before	SMD_after
primary	4	SOFA_noD3	center=Centre 16	0.0181001102855676	-0.00873507973357317
primary	4	SOFA_noD3	center=Centre 17	0.0519875974378265	3.3365839665319e-05
primary	4	SOFA_noD3	center=Centre 19	-0.0328779133793129	-0.00622286321713091
primary	4	SOFA_noD3	center=Centre 20	-0.0163475491914997	-0.00203556743157307
primary	4	SOFA_noD3	center=Centre 21	0.0298516749861506	1.91841618289683e-05
primary	4	SOFA_noD3	center=Centre 22	-0.078116590263798	0.00342280684107231
primary	4	SOFA_noD3	center=Centre 23	0.0366104035859039	2.35199673520621e-05
primary	4	SOFA_noD3	center=Centre 24	-0.0202163590282927	0.00309854496966341
primary	4	SOFA_noD3	center=Centre 25	0.0210797338870439	1.35512856242882e-05
primary	4	SOFA_noD3	center=Centre 26	0.0639412822989903	0.00129328805728828
primary	4	SOFA_noD3	center=Centre 27	0.0741343703449962	4.74835526130607e-05
primary	4	SOFA_noD3	center=Centre 28	-0.0804225880083308	0.0256005264409872
primary	4	SOFA_noD3	center=Centre 29	0.0423316966822672	2.71866230647138e-05
primary	4	SOFA_noD3	center=Centre 30	-0.0368099093436772	-0.00893827073208256
primary	4	PF_PLT_D3	age_z	0.047545432638351	0.0201262374708131
primary	4	PF_PLT_D3	sex=0	-0.0386806521415991	-0.00963512983545207
primary	4	PF_PLT_D3	sex=1	0.0386806521415989	0.00963512983545173
primary	4	PF_PLT_D3	pf_z	-0.121844752003021	-0.0363346752937236
primary	4	PF_PLT_D3	log2_plt_z	0.0756629248165377	0.0541651146142825
primary	4	PF_PLT_D3	log2_lac_z	0.0604785838759077	0.00317494469079705
primary	4	PF_PLT_D3	log2_inr_z	0.0883035435832812	0.0721432129413069
primary	4	PF_PLT_D3	log2_ddimer_z	-0.0371287647963449	-0.031806530537147
primary	4	PF_PLT_D3	infectionSite_SD=Lung/Chest	0.0603487520918672	0.0343460591399336
primary	4	PF_PLT_D3	infectionSite_SD=Urinary	-0.0367740200339473	-0.0473146895470345
primary	4	PF_PLT_D3	infectionSite_SD=SoftTissue	-0.03562904200715	-0.0143970402973999
primary	4	PF_PLT_D3	infectionSite_SD=Abdomen	-0.00388956180155798	0.00026804581247281
primary	4	PF_PLT_D3	infectionSite_SD=Biliary/Liver	-0.0225845943457366	0.0153778195412557
primary	4	PF_PLT_D3	infectionSite_SD=Others/Unknown	0.00410438129815693	-0.003792766031806
primary	4	PF_PLT_D3	center=Centre 01	-0.0163475491914997	-0.014836238348414
primary	4	PF_PLT_D3	center=Centre 02	0.0298516749861506	0.00897822112389671
primary	4	PF_PLT_D3	center=Centre 03	0.0366104035859039	0.0110082661874383
primary	4	PF_PLT_D3	center=Centre 05	-0.0446298268303618	-0.00947072395534464
primary	4	PF_PLT_D3	center=Centre 06	0.0210797338870439	0.00634152013722014
primary	4	PF_PLT_D3	center=Centre 07	-0.290042679883213	-0.163831510865272
primary	4	PF_PLT_D3	center=Centre 08	0.0423316966822672	0.0127254269781446
primary	4	PF_PLT_D3	center=Centre 09	-0.0278754371225123	0.0799901182449162
primary	4	PF_PLT_D3	center=Centre 10	0.0942081572151159	0.0282106315543317
primary	4	PF_PLT_D3	center=Centre 11	0.0210797338870439	0.00634152013722014
primary	4	PF_PLT_D3	center=Centre 13	0.0298516749861506	0.00897822112389671
primary	4	PF_PLT_D3	center=Centre 14	0.0210412454029532	0.00702658206614715
primary	4	PF_PLT_D3	center=Centre 15	0.129240344179966	0.0532519852687261
primary	4	PF_PLT_D3	center=Centre 16	0.0181001102855676	-0.00836113893018357
primary	4	PF_PLT_D3	center=Centre 17	0.0519875974378265	0.0156203005838876
primary	4	PF_PLT_D3	center=Centre 19	-0.0328779133793129	-0.0523175063070543
primary	4	PF_PLT_D3	center=Centre 20	-0.0163475491914997	0.0088597934225832
primary	4	PF_PLT_D3	center=Centre 21	0.0298516749861506	0.00897822112389671
primary	4	PF_PLT_D3	center=Centre 22	-0.078116590263798	-0.0453655003993399
primary	4	PF_PLT_D3	center=Centre 23	0.0366104035859039	0.0110082661874383
primary	4	PF_PLT_D3	center=Centre 24	-0.0202163590282927	-0.00711106680929586
primary	4	PF_PLT_D3	center=Centre 25	0.0210797338870439	0.00634152013722014
primary	4	PF_PLT_D3	center=Centre 26	0.0639412822989903	0.0562828637856515
primary	4	PF_PLT_D3	center=Centre 27	0.0741343703449962	0.0222405188699952
primary	4	PF_PLT_D3	center=Centre 28	-0.0804225880083308	-0.0630679907195366
primary	4	PF_PLT_D3	center=Centre 29	0.0423316966822672	0.0127254269781446
primary	4	PF_PLT_D3	center=Centre 30	-0.0368099093436772	0.00776575143601082
primary	4	PF_PLT_D3	RNA_D3_available	0.531919273543168	0.419716140012327
primary	4	PF_PLT_noD3	age_z	0.047545432638351	0.0174121617513974
primary	4	PF_PLT_noD3	sex=0	-0.0386806521415991	0.0133157011373339
primary	4	PF_PLT_noD3	sex=1	0.0386806521415989	-0.0133157011373342
primary	4	PF_PLT_noD3	pf_z	-0.121844752003021	-0.0423109525440725
primary	4	PF_PLT_noD3	log2_plt_z	0.0756629248165377	0.00840333781931251
primary	4	PF_PLT_noD3	log2_lac_z	0.0604785838759077	0.00366971753676553
primary	4	PF_PLT_noD3	log2_inr_z	0.0883035435832812	0.00692718900035525
primary	4	PF_PLT_noD3	log2_ddimer_z	-0.0371287647963449	-0.010533381665424
primary	4	PF_PLT_noD3	infectionSite_SD=Lung/Chest	0.0603487520918672	0.00627741148565917
primary	4	PF_PLT_noD3	infectionSite_SD=Urinary	-0.0367740200339473	-0.0180716650745856
primary	4	PF_PLT_noD3	infectionSite_SD=SoftTissue	-0.03562904200715	0.0123721503588359
primary	4	PF_PLT_noD3	infectionSite_SD=Abdomen	-0.00388956180155798	0.00485481306150993
primary	4	PF_PLT_noD3	infectionSite_SD=Biliary/Liver	-0.0225845943457366	0.00616095937034398
