Time,gene_symbol,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj,PH_FDR,PH_pass_nominal,entry_day
D1,LOC107985563,-0.179733620278313,0.83549274009497,0.110438164934691,-1.6274593152159,0.103639582693987,0.672879882420254,1.03740375806841,0.0711915378848374,0.789609737847864,TRUE,504,84,0.470439595446358,0.983950226929967,TRUE,0
D1,SULT1A1,0.077195202875979,1.08025292429048,0.121533550569451,0.635176068783289,0.525313589338703,0.851286810859089,1.37080284288733,2.24688794728377,0.133883415173165,TRUE,504,84,0.818624467106857,0.962971886103604,TRUE,0
D1,RBSN,0.176526475430511,1.19306601327779,0.133666746791521,1.32064615671269,0.186619374998638,0.918093965918649,1.55039305874786,1.07423844104936,0.299990041074306,TRUE,504,84,0.575531777699935,0.962971886103604,TRUE,0
D1,TALAM1,0.110208010307375,1.11651029195482,0.122204711199059,0.901831109668574,0.367146591205491,0.878702560620273,1.41867713593672,1.93020415320858,0.164736111239437,TRUE,504,84,0.728942716902917,0.962971886103604,TRUE,0
D1,PYDC5,-0.137551622136723,0.871489360693015,0.114188046938369,-1.20460613719897,0.228355386361843,0.696730861250479,1.09008190686142,0.697808213934516,0.403521147591641,TRUE,504,84,0.619961850837857,0.962971886103604,TRUE,0
D1,ITCH,-0.0344618414752166,0.966125204895701,0.118771848280873,-0.290151597150537,0.771700263914091,0.765481381277212,1.21936069820193,0.0773197218855109,0.780963045507785,TRUE,504,84,0.924933526011771,0.983000695354665,TRUE,0
D1,LOC105377225,0.163207018331375,1.17728038308356,0.123123108290557,1.32555960125881,0.184985615138961,0.924862834416398,1.49858881643564,0.163115677155936,0.686304038834371,TRUE,504,84,0.573267658086236,0.978723767076463,TRUE,0
D1,MEPCE,0.128953210677764,1.13763689366123,0.11779818861662,1.09469604067894,0.273649823785289,0.903095478433923,1.43309066729411,3.99180386966265,0.0457220901496925,TRUE,504,84,0.657212645343306,0.962971886103604,FALSE,0
D1,CTAGE8,-0.103875186099303,0.901337789886148,0.118574603187798,-0.876032331601274,0.38101245747405,0.714425084161217,1.13715185746966,1.49528395336342,0.221398431042413,TRUE,504,84,0.738416402972771,0.962971886103604,TRUE,0
D1,LOC105376995,0.165251120486653,1.17968932567558,0.117957496004855,1.40093784696693,0.161232659900342,0.936185794889377,1.4865285424218,0.24311113154208,0.621968066499685,TRUE,504,84,0.549480840863166,0.971889859065563,TRUE,0
D1,LOC105374101,0.0375268020976566,1.03823982371406,0.111120380935493,0.337713044013424,0.735579444012071,0.83504877514975,1.29087301679175,2.13944190212138,0.143554107842336,TRUE,504,84,0.911946924553658,0.962971886103604,TRUE,0
D1,LOC124901310,0.25088985603633,1.28516852298017,0.128642089129959,1.95029370039904,0.0511411230881987,0.998756767899769,1.65371408289149,0.0317032643384366,0.85868048483545,TRUE,504,84,0.373502295743595,0.991343703646791,TRUE,0
D1,LOC124902559,0.0897979098053795,1.09395318415305,0.105452136964977,0.851551352014831,0.394463150185402,0.889687963323587,1.34511606141998,2.43581275649925,0.118592413637147,TRUE,504,84,0.747549322445601,0.962971886103604,TRUE,0
D1,LOC105375713,-0.106126292843236,0.899311064352398,0.107048556356501,-0.991384624467112,0.321497805163111,0.729104939137547,1.10925101045581,0.0167583884412629,0.896998267485605,TRUE,504,84,0.698175706624359,0.994309085996242,TRUE,0
D1,LOC105370152,-0.279923644155983,0.755841452164445,0.117712772216165,-2.37802269784233,0.0174057544726175,0.600113522065603,0.951980383384204,1.44280584723983,0.229685832542305,TRUE,504,84,0.261716347602063,0.962971886103604,TRUE,0
D1,ZNF496-DT,0.030025223731525,1.03048052618984,0.106204530943111,0.282711325636456,0.777398133687333,0.836832095041458,1.26894047342183,0.591649377316151,0.441782022576589,TRUE,504,84,0.927708365258122,0.963669384821802,TRUE,0
D1,LOC124904294,0.427810999799731,1.53389614689069,0.139506251757082,3.06660808681653,0.00216502517011169,1.16693863775791,2.01624773858436,0.281156574916297,0.595944156758527,TRUE,504,84,0.135389504939094,0.970949646016332,TRUE,0
D1,LOC100310756,0.34083547346783,1.40612187747367,0.120191107885162,2.8357794471242,0.00457140030285168,1.1110052440362,1.77963042471982,0.668668411974349,0.413516244735808,TRUE,504,84,0.167451190427754,0.963669384821802,TRUE,0
D1,LOC107985892,-0.0513890757601902,0.949909012053537,0.117917160310664,-0.435806591888754,0.662977060768382,0.753894785017434,1.19688734968456,1.88134939248249,0.170180859717725,TRUE,504,84,0.883655156359496,0.962971886103604,TRUE,0
D1,LOC124905202,-0.113240485078405,0.892935896534244,0.11247418115098,-1.00681315409085,0.314024572168563,0.716278780669441,1.11316227261991,0.219082970594587,0.639739538790394,TRUE,504,84,0.693098031894457,0.974850318380004,TRUE,0
D1,LOC107985074,-0.153618485238252,0.857599145339719,0.102597514308846,-1.49729246632447,0.134317174301321,0.701379675889186,1.04861363876135,0.907703152706767,0.34072457523766,TRUE,504,84,0.515431056577458,0.962971886103604,TRUE,0
D1,LOC100294145,-0.204989127857929,0.814656173420923,0.105844955152757,-1.93669247213611,0.0527829465112397,0.662031972156404,1.00246620828764,0.214261751460508,0.643447397440408,TRUE,504,84,0.377873903571433,0.974850318380004,TRUE,0
D1,LINC03112,0.123990390670253,1.13200499313766,0.115618137440123,1.0724129744303,0.283534582946815,0.902472559095243,1.41991608672652,0.420634347237919,0.516620686951404,TRUE,504,84,0.666916268299845,0.968469324289621,TRUE,0
D1,LOC105376306,0.0753206866587801,1.07822986938222,0.124864207719036,0.603220795091764,0.546361815567086,0.84416385399138,1.37719667305238,0.595855231525792,0.440163827103326,TRUE,504,84,0.830769335999267,0.963669384821802,TRUE,0
D1,RPSA2,-0.126956876640782,0.880771653610624,0.119563789969272,-1.06183382672472,0.28831113034749,0.696771609189379,1.11336153134383,1.10161517912022,0.29391191309292,TRUE,504,84,0.671346808682732,0.962971886103604,TRUE,0
D1,LOC105374981,0.0764621331051476,1.07946131371517,0.12211434469925,0.62615193402104,0.531215290789768,0.849695197909844,1.37135849499213,0.000214372724420765,0.988318212319368,TRUE,504,84,0.822182175984461,0.998799720170289,TRUE,0
D1,SMANTIS,0.102847069759142,1.10832190017968,0.112486544727972,0.914305528788882,0.360556326266702,0.88903159279006,1.38170279254403,0.32997694158552,0.565672666018817,TRUE,504,84,0.723619545036658,0.970284618435057,TRUE,0
D1,PPIAL4C,-0.000869149104876986,0.999131228495801,0.125295646855381,-0.00693678612697674,0.994465289835184,0.7815750469527,1.27724550015725,0.000114458993297192,0.991463954179865,TRUE,504,84,0.999165330404232,0.999301672673297,TRUE,0
D1,ARHGAP11A-SCG5,0.151087716867896,1.16309867698036,0.128039034763714,1.18001293235861,0.2379950714113,0.904960321505,1.49487054873709,0.228040447984228,0.632980628707228,TRUE,504,84,0.628644202250991,0.974342310181016,TRUE,0
D1,H2AC19,0.0577161084649396,1.05941419429294,0.128306692276215,0.449829291372346,0.652833535429174,0.823855286750393,1.36232473484072,0.494749215538056,0.481816402241376,TRUE,504,84,0.879374936422012,0.963669384821802,TRUE,0
D1,H2AC18,0.0552463654429617,1.05680094183853,0.127232558001601,0.434215630894308,0.664131863415422,0.82355506390294,1.35610632442474,0.375562016443643,0.539987992754904,TRUE,504,84,0.884191670566164,0.969412060828519,TRUE,0
D1,CTAGE4,-0.101262697412333,0.903695603204649,0.118565704971645,-0.854063976059102,0.393069542610329,0.716306444152723,1.14010665395786,1.48718890832833,0.222653129314661,TRUE,504,84,0.746457387893011,0.962971886103604,TRUE,0
D1,F8A1,-0.0667942153029068,0.93538767000088,0.135709004920591,-0.49218705377724,0.622587115663583,0.716928634130115,1.22041448972295,0.0355949318896399,0.850354450783947,TRUE,504,84,0.867232421579094,0.991343703646791,TRUE,0
D1,F8A2,-0.000343871896093479,0.999656187221071,0.139079085566692,-0.00247249178186884,0.998027238990521,0.761143119895241,1.31291010393276,0.0169750526304396,0.896338301458224,TRUE,504,84,0.999445688661645,0.994309085996242,TRUE,0
D1,PRRC2B,0.0922763456312494,1.09666783957651,0.132313400360904,0.697407408316559,0.485547866597865,0.846154633851533,1.42134818181759,1.97911421376791,0.159483753613851,TRUE,504,84,0.798410511157328,0.962971886103604,TRUE,0
D1,PSEN2,-0.144240904051205,0.865679177316586,0.0996091196641931,-1.44806925849236,0.147597682009931,0.71214681276327,1.05231172085388,0.270278050159667,0.603145314891934,TRUE,504,84,0.532296104689091,0.971140946671094,TRUE,0
D1,ACTL10,-0.0788599719301948,0.924169325031776,0.108728792328576,-0.725290608322789,0.468273766143239,0.746795054959065,1.14367246496631,1.25291314693685,0.262996810551523,TRUE,504,84,0.789365575854439,0.962971886103604,TRUE,0
D1,LOC128031837,0.241057118633806,1.27259372204712,0.128041246036757,1.8826520835685,0.0597475330519956,0.990149722802971,1.63560595342004,0.0261583710900137,0.871514149731901,TRUE,504,84,0.39701721829331,0.992128861099685,TRUE,0
D1,C8orf44-SGK3,0.2100687605533,1.23376289125923,0.119884887418363,1.75225389185396,0.0797301605659974,0.975406178816555,1.56055077864604,0.563159957773347,0.45298984214391,TRUE,504,84,0.433478391925349,0.963669384821802,TRUE,0
D1,LOC105370174,0.349954741041937,1.41900332452795,0.130312932394172,2.6854950971665,0.0072422437295965,1.09915981875693,1.83191779817661,1.08800811534714,0.296912967833482,TRUE,504,84,0.194168789621591,0.962971886103604,TRUE,0
D1,C8orf44,0.134102219113584,1.14350970221886,0.12782107087826,1.04914016282423,0.294113613632258,0.890099098101385,1.46906613191483,4.22561161239267,0.0398182662087457,TRUE,504,84,0.676544978809925,0.962971886103604,FALSE,0
D1,DUS4L-BCAP29,-0.0687890964088809,0.933523542785514,0.115796591257174,-0.594051134511432,0.552477912650933,0.743976191892576,1.17136302805326,0.00182686225009339,0.965907351116885,TRUE,504,84,0.834678686605226,0.99858500270091,TRUE,0
D1,LOC124903386,-0.133867620830733,0.874705849773138,0.101933373868108,-1.31328548983324,0.189086766086412,0.716302036391397,1.06813925516928,0.0475451563425372,0.82739130863745,TRUE,504,84,0.578870917904191,0.99033137687973,TRUE,0
D1,LOC101929004,0.0769662918426971,1.08000567077798,0.130645159294985,0.589124711991159,0.555777617167676,0.836027714500976,1.39518371063671,0.597786523010428,0.439423816237289,TRUE,504,84,0.836427482015647,0.963669384821802,TRUE,0
D1,LOC102724104,-0.15864776616742,0.853296866067104,0.102824682742108,-1.54289575164866,0.122856071775615,0.69755044796976,1.04381775362505,0.0297182172944205,0.863131149497035,TRUE,504,84,0.499342512394486,0.991543726041339,TRUE,0
D1,LOC124902606,0.118003962081195,1.12524856968471,0.127156033176988,0.928024877254122,0.353394665339615,0.87702719026935,1.44372301979442,0.17003842483157,0.680077660578518,TRUE,504,84,0.719332265836018,0.978628028170657,TRUE,0
D1,LOC107986954,0.281782519116778,1.32549041981084,0.118444611176353,2.37902354795382,0.0173585670329708,1.05088781715387,1.67184815004195,0.187389329503369,0.665098396461066,TRUE,504,84,0.261716347602063,0.978006246516461,TRUE,0
D1,LOC105369344,0.000231735441899285,1.00023176229463,0.114968148779812,0.00201564906766575,0.998391745817927,0.798435017353666,1.25303068697934,0.751549124725973,0.38598621151169,TRUE,504,84,0.999445688661645,0.962971886103604,TRUE,0
D1,PTCSC1,0.27601883160782,1.31787268145512,0.130695949424526,2.11191573130745,0.0346936778290366,1.02005798917293,1.70263693139045,0.27821877635624,0.597871077374027,TRUE,504,84,0.325891969839807,0.970949646016332,TRUE,0
D1,LOC729870,0.411114242220269,1.50849768083885,0.135124760249877,3.04247897617004,0.00234638207206382,1.15751397311488,1.96590737213531,0.126948544538716,0.721617112998043,TRUE,504,84,0.139260170244408,0.978723767076463,TRUE,0
D1,LOC124906232,-0.0856056565443307,0.917956149855625,0.115455519858068,-0.74146005881371,0.458414540676266,0.732058890113216,1.15105970904533,3.77439356487155,0.0520427629281729,TRUE,504,84,0.784717769555887,0.962971886103604,TRUE,0
D1,HERC3,-0.13585481186851,0.872969368079644,0.117707297538704,-1.15417492975607,0.248428458639664,0.693116713820278,1.09949089729061,0.0949554294336619,0.757969422602627,TRUE,504,84,0.63688261937224,0.981477933072091,TRUE,0
