variable	label	level	type	unit	Overall	Survivor	Death	N_overall	N_survivor	N_death	Missing_overall	Missing_survivor	Missing_death	count_overall	count_survivor	count_death	mean_survivor	mean_death	variance_survivor	variance_death	SMD	P_value_existing
pf	PaO2/FiO2 ratio		continuous	mmHg	243.82 [168.06, 327.52]	249.70 [178.38, 330.45]	205.30 [122.64, 280.95]	504	420	84	0	0	0				259.129222920287	215.449039175459	11006.4516156371	12344.9900791173	-0.404243090149737	0.000503432774449754
sex	Male sex	1 vs 0	binary	n (%)	298 (59.1%)	242 (57.6%)	56 (66.7%)	504	420	84	0	0	0	298	242	56					0.187353585857068	0.144669351441107
diabete	Diabetes mellitus	1 vs 0	binary	n (%)	137 (27.2%)	108 (25.7%)	29 (34.5%)	504	420	84	0	0	0	137	108	29					0.192913842871277	0.107450490446533
hyperten	Hypertension	1 vs 0	binary	n (%)	200 (39.7%)	161 (38.3%)	39 (46.4%)	504	420	84	0	0	0	200	161	39					0.164370167792715	0.179964748724494
myoinfarc	Myocardial infarction	1 vs 0	binary	n (%)	20 (4.0%)	14 (3.3%)	6 (7.1%)	504	420	84	0	0	0	20	14	6					0.171616928056058	0.121644880834248
cardiofailure	Heart failure	1 vs 0	binary	n (%)	53 (10.5%)	39 (9.3%)	14 (16.7%)	504	420	84	0	0	0	53	39	14					0.220980862241896	0.0517478496885944
cerebrovasc	Cerebrovascular disease	1 vs 0	binary	n (%)	88 (17.5%)	66 (15.7%)	22 (26.2%)	504	420	84	0	0	0	88	66	22					0.259579115104564	0.0270764616216261
dementia	Dementia	1 vs 0	binary	n (%)	23 (4.6%)	13 (3.1%)	10 (11.9%)	504	420	84	0	0	0	23	13	10					0.339242592472458	0.00176008644837671
copd	Chronic obstructive pulmonary disease	1 vs 0	binary	n (%)	35 (6.9%)	25 (6.0%)	10 (11.9%)	504	420	84	0	0	0	35	25	10					0.209887740080557	0.0599597846954267
paralysis	Paralysis	1 vs 0	binary	n (%)	16 (3.2%)	11 (2.6%)	5 (6.0%)	504	420	84	0	0	0	16	11	5					0.16514073501895	0.161464184311318
renafailure	Renal failure	1 vs 0	binary	n (%)	42 (8.3%)	34 (8.1%)	8 (9.5%)	504	420	84	0	0	0	42	34	8					0.0504183879140649	0.666059661572588
infectionSite_SD	Infection source	Abdomen	infection	n (%)	90 (17.9%)	83 (19.8%)	7 (8.3%)	504	420	84	0	0	0	90	83	7					-0.333437870657738	0.00339996600034
infectionSite_SD	Infection source	Biliary/Liver	infection	n (%)	66 (13.1%)	57 (13.6%)	9 (10.7%)	504	420	84	0	0	0	66	57	9					-0.08755859151318	
infectionSite_SD	Infection source	Lung/Chest	infection	n (%)	194 (38.5%)	148 (35.2%)	46 (54.8%)	504	420	84	0	0	0	194	148	46					0.400223864174849	
infectionSite_SD	Infection source	Others/Unknown	infection	n (%)	36 (7.1%)	31 (7.4%)	5 (6.0%)	504	420	84	0	0	0	36	31	5					-0.0572937605479029	
infectionSite_SD	Infection source	SoftTissue	infection	n (%)	25 (5.0%)	18 (4.3%)	7 (8.3%)	504	420	84	0	0	0	25	18	7					0.167056502544044	
infectionSite_SD	Infection source	Urinary	infection	n (%)	93 (18.5%)	83 (19.8%)	10 (11.9%)	504	420	84	0	0	0	93	83	10					-0.216490043985498	
