pathway	Time	ref_NES	ref_ES	ref_pval	ref_FDR	ref_log2err	ref_coverage	ref_status	ref_family_eligible_n	ref_family_finite_p_n	ref_LE	control_NES	control_ES	control_pval	control_FDR	control_log2err	control_coverage	control_status	control_family_eligible_n	control_family_finite_p_n	control_LE	delta_NES	ref_signed_NES_rank	control_signed_NES_rank	rank_shift	direction_same	FDR_status	ref_LE_n	control_LE_n	shared_LE_n	LE_Jaccard	shared_universe_LE_Jaccard	added_in_control_LE_n	added_fraction_control_LE	added_abs_z_share_control_LE
"WNT_BETA_CATENIN_SIGNALING"	"D3"	NA	NA	NA	NA	NA	7	"coverage_outside_original_15_to_500"	44	44	NA	NA	NA	NA	NA	NA	14	"coverage_outside_original_15_to_500"	47	47	NA	NA	NA	NA	NA	NA	"not_comparable"	0	0	0	NA	NA	0	NA	NA
"XENOBIOTIC_METABOLISM"	"D3"	-1.21459639638066	-0.276413462623899	0.136628534426937	0.333980861932513	0.0555209399162646	74	"estimable"	44	44	"PLG;ACP2;VTN;HRG;CFB;FETUB;VNN1;APOE;SERPINA6;NFS1;ITIH1;CES1;CDA;CD36;SLC1A5;LPIN2;F11;MBL2"	-1.07256432381994	-0.234513235086482	0.305163329820864	0.478089216719354	0.0350682118590514	98	"estimable"	47	47	"SLC35B1;PLG;ACP2;VTN;HRG;CFB;UPP1;FETUB;VNN1;APOE;SERPINA6;NFS1;ITIH1;CES1;CDA;CD36;SLC1A5;LPIN2;F11;MBL2"	0.14203207256072	38	39	1	TRUE	"neither"	18	20	18	0.9	1	2	0.1	0.138387758641265
"ADIPOGENESIS"	"D5"	1.15400281662087	0.271220126675741	0.1963	0.478417152434461	0.0291966379375075	94	"estimable"	44	44	"ACADS;ANGPTL4;ACAA2;SPARCL1;EPHX2;LAMA4;DHCR7;ARAF;G3BP2;NMT1;ITIH5;UBQLN1;COL15A1;COL4A1;REEP5;DLD;MTCH2;QDPR;BCL2L13;ENPP2;MGST3;CYC1;DHRS7;ETFB;ATP1B3;RMDN3;SLC25A10;AK2;IDH1;PFKL;NDUFA5;CAVIN1;GPX4;APLP2;RTN3;SAMM50;SCP2;GPD2;ALDH2;RAB34;CRAT;SDHB;TST;NDUFB7;GHITM;TKT;DBT;AGPAT3;PEX14;RNF11;ADCY6;IMMT;ESYT1;SLC1A5;LTC4S;GPAT4;PREB;REEP6;SLC25A1;PGM1;SULT1A1;STAT5A;ACOX1;UQCRC1;LPCAT3;RETN;AIFM1;POR"	1.1615513963771	0.275311544919728	0.144685531446855	0.358155708996297	0.0350823822118328	137	"estimable"	47	47	"CPT2;ACADS;ANGPTL4;ACAA2;SLC66A3;IDH3A;SPARCL1;EPHX2;LAMA4;DHCR7;ARAF;LIPE;ECHS1;G3BP2;HIBCH;NMT1;ITIH5;UBQLN1;COL15A1;COL4A1;REEP5;DLD;MTCH2;QDPR;BCL2L13;ENPP2;SQOR;MGST3;NDUFS3;CYC1;DHRS7;ETFB;ACADM;ATP1B3;DECR1;RMDN3;SLC25A10;AK2;IDH1;ACO2;PFKL;NDUFA5;CAVIN1;DNAJB9;PRDX3;ADIPOQ;PPM1B;DHRS7B;CS;GPX4;APLP2;RTN3;MDH2;SAMM50;SCP2;GPX3;PDCD4;GPD2;ALDH2;RAB34;CRAT;IFNGR1;SDHB;TST;NDUFB7;DLAT;GHITM;TKT;DBT;AGPAT3;PEX14;PLIN2;RNF11;ADCY6;IMMT;ESYT1;ITGA7;ATP5PO;ITSN1;SLC1A5;LTC4S;GPAT4;PREB;HADH;REEP6;SLC25A1;PGM1;SULT1A1;STAT5A;ACOX1;UQCR10;UQCRC1;LPCAT3;RETN;AIFM1;POR"	0.00754857975623002	20	22	2	TRUE	"neither"	68	96	68	0.708333333333333	1	28	0.291666666666667	0.298002146034181
"ALLOGRAFT_REJECTION"	"D5"	1.19165432838383	0.289108741616688	0.169533906781356	0.478417152434461	0.031940289716243	70	"estimable"	44	44	"STAB1;IL16;INHBB;PTPN6;CAPG;GLMN;CFP;GALNT1;HCLS1;WAS;AARS1;LY75;EIF3A;ELANE;EIF5A;WARS1;EIF3D;RARS1;DARS1;IKBKB;PRKCB;TRAF2;STAT1;TLR2"	1.18816771352747	0.291056935595532	0.141985801419858	0.358155708996297	0.0354703050905573	94	"estimable"	47	47	"STAB1;IL16;INHBB;PTPN6;CXCL13;CAPG;GLMN;CFP;GALNT1;EIF3J;HCLS1;WAS;CD8A;CD74;AARS1;LY75;EIF3A;ELANE;EIF5A;WARS1;EIF3D;RARS1;DARS1;IKBKB;TPD52;PRKCB;TRAF2;STAT1;TLR2;TGFB2;CCL19;MAP4K1;ABI1;NPM1;ICAM1;CTSS;CCND3;CXCL9;THY1;LCP2;TIMP1;ABCE1;HLA-A;FGR;IFNGR1;IL18;TAP2;SPI1;EIF4G3"	-0.00348661485635993	16	17	1	TRUE	"neither"	24	49	24	0.489795918367347	0.666666666666667	13	0.26530612244898	0.252019288262517
"ANDROGEN_RESPONSE"	"D5"	0.887635570621159	0.242919037992025	0.65662100456621	0.780846600024682	0.0106557031405462	30	"estimable"	44	44	"B4GALT1;SELENOP;RPS6KA3;SEC24D;SORD;PA2G4;STK39;PDLIM5;SMS;ACSL3;CCND3;FKBP5;PTK2B;GUCY1A1;MYL12A;SPCS3;GNAI3;LMAN1;VAPA;TNFAIP8;IQGAP2;UBE2J1;RAB4A;ABCC4;ITGAV"	1.01274580414784	0.267880125381602	0.471354166666667	0.649721444447652	0.0153036059232047	48	"estimable"	47	47	"B4GALT1;PGM3;NGLY1;SELENOP;RPS6KA3;NDRG1;SEC24D;DBI;ZMIZ1;XRCC6;SORD;TPD52;PA2G4;STK39;PDLIM5;SMS;DNAJB9;ACSL3;CCND3;FKBP5"	0.125110233526681	37	33	-4	TRUE	"neither"	25	20	12	0.363636363636364	0.48	8	0.4	0.420702509424309
"ANGIOGENESIS"	"D5"	1.27222844844272	0.392535870887135	0.170649185874392	0.478417152434461	0.0328914114303759	17	"estimable"	44	44	"POSTN;VCAN;NRP1;LRPAP1;COL3A1"	1.42477044941542	0.417978650163466	0.051537991444286	0.297480251974803	0.0625245409501155	25	"estimable"	47	47	"POSTN;VCAN;STC1;NRP1;CXCL6;LRPAP1;COL3A1"	0.1525420009727	11	4	-7	TRUE	"neither"	5	7	5	0.714285714285714	1	2	0.285714285714286	0.28503711999941
"APICAL_JUNCTION"	"D5"	1.12729787689277	0.267682413059504	0.247024702470247	0.517575567080518	0.0251933248449863	85	"estimable"	44	44	"WASL;B4GALT1;VCAN;TNFRSF11B;ADAMTS5;FBN1;EVL;MMP2;VCAM1;VASP;LAMC2;SHC1;FSCN1;CD209;MYH10;PIK3CB;ZYX;IKBKG;CAP1;TUBG1;INPPL1;SYK;ARHGEF6;RASA1;RAC2;CTNNA1;EPB41L2;NECTIN2;ICAM1;BMP1;PTK2;CD99;STX4;AKT2;LIMA1"	1.14708693377923	0.27719136991724	0.185081491850815	0.362451254874513	0.0302759608568572	108	"estimable"	47	47	"WASL;B4GALT1;VCAN;TNFRSF11B;TGFBI;ADAMTS5;FBN1;EVL;MMP2;VCAM1;COL16A1;VASP;LAMC2;SHC1;FSCN1;CD209;MYH10;PIK3CB;ZYX;IKBKG;ADAM15;CAP1;THBS3;TIAL1;TUBG1;INPPL1;DSC3;SYK;SLIT2;ARHGEF6;RASA1;RAC2;CTNNA1;EPB41L2;NECTIN2;MADCAM1;ICAM1;BMP1;PTK2;CD99;STX4;AKT2;LIMA1;THY1;EXOC4;SIRPA;ACTG1;NF2"	0.01978905688646	21	23	2	TRUE	"neither"	35	48	35	0.729166666666667	0.945945945945946	11	0.229166666666667	0.214689197483431
"APICAL_SURFACE"	"D5"	NA	NA	NA	NA	NA	12	"coverage_outside_original_15_to_500"	44	44	NA	0.90114107600953	0.290766126618999	0.618070895129904	0.744854668489885	0.0120879663397406	16	"estimable"	47	47	"B4GALT1;SRPX;RTN4RL1;GSTM3;THY1;PCSK9;PLAUR;FLOT2"	NA	NA	39	NA	NA	"not_comparable"	0	8	0	0	0	4	0.5	0.51109582467169
"APOPTOSIS"	"D5"	1.06489765116362	0.263799465465744	0.368758130691484	0.613817846994015	0.0188884125634743	59	"estimable"	44	44	"LGALS3;ETF1;HMOX1;PLAT;BMP2;IGF2R;LMNA;TNFSF10;MMP2;FDXR;DNAJC3;BAX;CASP6;SPTAN1;DNAJA1;GPX1;PLCB2;BCL2L1;PTK2;GPX4;RELA;RHOT2;ROCK1;CASP3;DPYD;TIMP1"	1.33254044885855	0.329173047389268	0.0331966803319668	0.297480251974803	0.0779134661483548	87	"estimable"	47	47	"IGFBP6;LGALS3;ETF1;HMOX1;PLAT;BMP2;IGF2R;PPP2R5B;LMNA;TNFSF10;MMP2;FDXR;TSPO;ISG20;TIMP2;DNAJC3;BAX;CASP6;RHOB;SPTAN1;SOD2;IFITM3;DNAJA1;PPP3R1;GPX1;GNA15;TGFB2;TXNIP;PLCB2;CDK2;CASP7;PPT1;BCL2L1;PTK2;GPX4;GPX3;RELA;PDCD4;RHOT2;ROCK1;CASP3;DPYD;TIMP1;PSEN2;IFNGR1;IL18"	0.26764279769493	27	8	-19	TRUE	"neither"	26	46	26	0.565217391304348	1	20	0.434782608695652	0.415220666640418
"BILE_ACID_METABOLISM"	"D5"	1.47034324065157	0.395741241270737	0.0359886777193692	0.3412047228337	0.0751440930078969	33	"estimable"	44	44	"FDXR;EPHX2;OPTN;APOA1;NEDD4;HSD17B11;PRDX5;ABCD1;ABCD3;AGXT;SLC35B2;IDH1;ACSL1;HAO1;ALDH9A1;GSTK1;SCP2;GCLM;SLC27A2"	1.37513014689226	0.364786992520321	0.0460875663761146	0.297480251974803	0.0657381960282851	47	"estimable"	47	47	"BMP6;FDXR;EPHX2;LIPE;OPTN;APOA1;NEDD4;HSD17B11;PRDX5;ABCD1;ABCD3;AGXT;SLC35B2;IDH1;ACSL1;HAO1;SULT1B1;MLYCD;ALDH9A1;GSTK1;PXMP2;SCP2;GCLM;SLC27A2"	-0.0952130937593099	3	6	3	TRUE	"neither"	19	24	19	0.791666666666667	1	5	0.208333333333333	0.214185800382737
