gene_symbol,NES,padj_x,Time,model,logHR,HR,SE,z,pval,lower95,upper95,PH_chisq,PH_p,fit_ok,N,Events,padj_y,PH_FDR,PH_pass_nominal,entry_day
PTX3,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.421207881515701,1.52380101555045,0.12534226890635,3.36046159999233,0.0007781234665995,1.19189150918756,1.94813833062318,0.747677706905074,0.387212479979861,True,114,14,0.0150761421653664,0.99992764102675,True,4
NNMT,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.562746425690233,1.75548720080831,0.205302565480827,2.74105890675189,0.0061241526921245,1.17393434002586,2.62513430873305,1.31139192152017e-05,0.997110615329947,True,114,14,0.0417800909894061,0.99992764102675,True,4
CAPG,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.573047218046171,1.77366356470383,0.174394386315423,3.28592697364531,0.0010164735871546,1.2601622742549,2.49641058538907,0.208680496199925,0.647803589024102,True,114,14,0.0170512344165551,0.99992764102675,True,4
THBS2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.57748641019035,1.78155470024129,0.171160227808934,3.37395210080579,0.0007409725989436,1.27381779401996,2.4916728003425,2.25347648891866,0.133314601348223,True,114,14,0.014800354746941,0.922633791070698,True,4
COL1A1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.587598717719569,1.79966172686115,0.184022689111696,3.19307755231701,0.001407651361754,1.2547305831067,2.58125718360164,1.07634608287104,0.299516402598455,True,114,14,0.0201278561874431,0.99992764102675,True,4
COMP,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.645131629368066,1.90623792965269,0.239368024951471,2.69514539169907,0.0070357923244435,1.19241292400585,3.04738649782428,0.151732847799822,0.696884856726694,True,114,14,0.0435522288453972,0.99992764102675,True,4
COL4A1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.696685205846655,2.00708858297197,0.256877719164034,2.71212780973726,0.0066852810449558,1.21314253331705,3.32063584390346,1.88357260386879,0.169928652980677,True,114,14,0.042889841141066,0.967570883835308,True,4
LAMC2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.699481151445709,2.0127081457976,0.235061729217039,2.9757338796732,0.0029228838014545,1.26968473314661,3.19055114581127,2.93234928305567,0.0868210689292674,True,114,14,0.0281408098549448,0.818017036176101,True,4
COL3A1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.708119788627125,2.03017051817535,0.240554056679585,2.94370337545515,0.0032431066440886,1.26698809008003,3.25306320172909,1.2785852420038,0.258162251393794,True,114,14,0.0298415272391858,0.99992764102675,True,4
MMP2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.728708884445486,2.07240316763886,0.227854205249473,3.19813664903677,0.0013831871982469,1.32594159982632,3.23909807928353,0.0811674672114439,0.775721485816073,True,114,14,0.0201278561874431,0.99992764102675,True,4
COL1A2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.74152861812059,2.09914184950796,0.225243653088047,3.29211770433651,0.0009943598555697,1.34993868151907,3.26414567171099,1.16607525337653,0.280209140248451,True,114,14,0.0168907124495979,0.99992764102675,True,4
LRP1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.74511702388944,2.10668795337431,0.240602848618867,3.09687532033239,0.0019557211167405,1.3146153403822,3.37599448033381,2.46669952722324,0.116281867172753,True,114,14,0.0242122023238643,0.885249971108874,True,4
PCOLCE2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.779891396272582,2.18123536234342,0.289925299477012,2.6899735817447,0.0071457675713203,1.23571314787178,3.85023637090176,1.40034565353042,0.236665705555406,True,114,14,0.0438130527513706,0.99992764102675,True,4
FBLN1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.839880621360937,2.31609046854875,0.306728216741758,2.73819158303278,0.006177807549669,1.26960314007361,4.22515894076266,0.0688955932453361,0.792951633431365,True,114,14,0.0419247009719219,0.99992764102675,True,4
FBN1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.842406308582547,2.32194758215416,0.245902496496459,3.42577371350387,0.0006130508948482,1.43396921172468,3.7598021841676,2.00902712849929,0.156365562401247,True,114,14,0.0138825923969512,0.962541337068132,True,4
COL4A2,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.843410582848739,2.32428062567006,0.280899933591079,3.00253037466551,0.0026774525268365,1.34025089264033,4.03079785772242,1.90658189979881,0.16734344157549,True,114,14,0.0271600223599254,0.967570883835308,True,4
VCAM1,1.9378599732838,5.67225701777406e-06,D5,center_primary,0.845537366274889,2.32922912751305,0.270087696606584,3.1306030481889,0.0017444778391036,1.37187059762892,3.95467935374669,2.48076843763893,0.115245934378218,True,114,14,0.0226840658608272,0.882521983677599,True,4
