Time,analysis,pathway,NES,padj,gene_symbol
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,SLC7A11
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,LDHA
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,G6PD
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ALDOA
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,HK2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,UBE2D3
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PNP
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,RAB1A
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PPP1R15A
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,HMBS
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,SLC7A5
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,IFRD1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,GBE1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,TUBG1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,CORO1A
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,RIT1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,VLDLR
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,TFRC
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PGK1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ADD3
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,DDIT3
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,AURKA
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,TXNRD1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ENO1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,SLC6A6
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ACSL3
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,NAMPT
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,GLRX
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,TM7SF2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,BTG2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ACTR2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,LDLR
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PDAP1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,NIBAN1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,NHERF1
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PSPH
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,SLC1A5
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,CFP
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ADIPOR2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,GLA
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,TES
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,FADS2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,PSMB5
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ELOVL5
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ACTR3
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,MTHFD2
D3,PH_pass,MTORC1_SIGNALING,1.71054153144492,6.19929014641152e-05,ATP6V1D
